Country Name,Country Code,N_Categories,Shannon_Entropy,Diversity_Normalized,Total_Resource_Value,GDP,Resource_Intensity_Pct,Fossil fuels,Base metals,Precious metals,Battery/strategic,Industrial minerals
Panama,PAN,1,0.0,0.0,579596400.0,139300426857.1,0.41607654267604893,0.0,1.0,0.0,0.0,0.0
Papua New Guinea,PNG,2,0.13882869775368684,0.08625911983378315,2249054802.0,36445975592.96001,6.170927696155382,0.0,0.0,0.968817567300879,0.031182432699121035,0.0
Peru,PER,3,0.5759317223016086,0.35784649898707455,17005757968.333334,431689951446.56,3.9393453360098705,0.0,0.7378459356745593,0.26208554586625166,0.0,6.851845918912197e-05
Philippines,PHL,3,0.5609047393229627,0.3485097095014092,3893958200.0,995403564894.981,0.3911939174550604,0.0,0.8164956675703401,0.1519400490739731,0.03156428335568676,0.0
Poland,POL,3,0.8406505369441808,0.5223255463597152,6397628782.847287,1262683596243.175,0.50666919265301,0.6347546756284221,0.2911037922352137,0.07414153213636408,0.0,0.0
Portugal,PRT,2,0.07408633587162819,0.04603242865055952,326339781.616,359908627672.75,0.09067295322320731,0.0,0.9859004881561936,0.0,0.014099511843806443,0.0
Qatar,QAT,2,0.13620189241570768,0.08462699391100903,30051803604.274246,240178127808.276,12.512298217372786,0.9695791969081692,0.03042080309183087,0.0,0.0,0.0
Russian Federation,RUS,5,0.4372009868630917,0.27164824656197684,200872408587.86862,3976385196776.2437,5.051633547743839,0.8928128694663033,0.05534280231989703,0.04592775117725734,0.0035998871377284397,0.0023166898988138613
Saudi Arabia,SAU,3,0.054822942370006095,0.034063409309833106,130135606804.07385,1696382808498.704,7.671358501872796,0.9908449222372036,0.008343492043916222,0.0,0.0,0.0008115857188802359
Slovak Republic,SVK,1,0.0,0.0,153055246.36444446,179718408792.954,0.08516392248986188,0.0,0.0,0.0,0.0,1.0
South Africa,ZAF,5,1.2431313947408782,0.7724009638003225,18584155942.419285,815685210078.76,2.2783490141527585,0.494556380224972,0.0690338132102968,0.16187396453843902,0.015901986666257417,0.25863385536003475
Spain,ESP,2,0.5002818358224392,0.3108425817220978,1036762392.7851852,1925009819761.149,0.053857511901618485,0.0,0.8000869685980889,0.0,0.0,0.19991303140191108
Sudan,SDN,1,0.0,0.0,1584440000.0,192647554800.44998,0.8224552871388426,0.0,0.0,1.0,0.0,0.0
Sweden,SWE,2,0.5078394569373219,0.31553839574293974,666384626.0,548916813694.433,0.1213999297115643,0.0,0.7945692762725891,0.20543072372741084,0.0,0.0
Tajikistan,TJK,1,0.0,0.0,210560000.0,34237174782.246002,0.6150040163629032,0.0,1.0,0.0,0.0,0.0
Tanzania,TZA,1,0.0,0.0,1384468800.0,161292704524.245,0.8583579797261638,0.0,0.0,1.0,0.0,0.0
Thailand,THA,2,0.00810364292831687,0.005035076448560224,7167772632.155687,1318294994480.721,0.5437153794988874,0.9989715075549511,0.0,0.0,0.0010284924450488452,0.0
Trinidad and Tobago,TTO,1,0.0,0.0,2194443241.0,38192241532.725,5.745782789731503,1.0,0.0,0.0,0.0,0.0
Turkiye,TUR,4,1.0540574365680173,0.6549227083720612,5191223635.449664,2353911247106.4004,0.22053608188631135,0.6060621572867432,0.06876991342891292,0.22455052639993378,0.0,0.10061740288441014
United Arab Emirates,ARE,2,0.26812349674320957,0.1665944953028364,48088621098.951935,657200324437.1849,7.317193755212188,0.9243064176760242,0.07569358232397584,0.0,0.0,0.0
United Kingdom,GBR,1,0.0,0.0,14012155390.192408,3138756599681.0,0.44642376511821585,1.0,0.0,0.0,0.0,0.0
United States,USA,5,0.24875349150080678,0.15455923436312874,273161898070.98776,20797858791019.055,1.313413562500697,0.9467664481765773,0.030127169484894044,0.022215418925017782,0.0004659434602659106,0.0004250199532449919
Uzbekistan,UZB,4,0.9042148232005394,0.5618202580011381,6910218352.106462,246446181452.163,2.8039462049639368,0.5279603527522397,0.07808566567733935,0.39385762667982177,0.0,9.635489059913215e-05
"Venezuela, RB",VEN,1,0.0,0.0,12473130161.66222,225840324945.08804,5.5229862801052025,1.0,0.0,0.0,0.0,0.0
Viet Nam,VNM,2,0.18918303313519108,0.11754602751284284,1758189747.934573,988922942285.6,0.17778834656935377,0.9531336136518831,0.0,0.0,0.0,0.04686638634811692
Zambia,ZMB,1,0.0,0.0,3095657070.0,62435441173.074,4.958172813128192,0.0,1.0,0.0,0.0,0.0
Zimbabwe,ZWE,2,0.04292725923850089,0.026672205809777444,847813400.0,34671991736.256,2.4452399690481403,0.0,0.0,0.9927531223262099,0.007246877673790011,0.0
