Country Code,Country Name,Metals_GDP_Norm,Oil_GDP_Norm,Natural Gas_GDP_Norm,Coal_GDP_Norm,Cluster,PC1,PC2
THA,Thailand,1.441255567194514e-07,0.013140593791622211,0.0943195030858614,0.0010678918647905006,0,-0.21847816497390996,0.043113001781580534
TGO,Togo,4.710366359390015e-08,0.0,0.0,0.0,0,-0.45173593543877877,0.09842775145002187
TTO,Trinidad and Tobago,0.0,0.07857812871309297,3.145373991653976,0.0,3,5.122789882911849,-0.29966419663066424
TUN,Tunisia,0.0,0.010803826026579002,0.0,0.0,0,-0.36678084187142823,0.09619678588658727
TUR,Turkiye,0.00011196896243390371,0.0,0.0,0.003699760222780542,0,-0.517217862996411,-0.03937017129290598
UGA,Uganda,1.543447303743746e-10,0.0,0.0,0.0,0,-0.4517356507291841,0.09842574175678036
UKR,Ukraine,2.5858640054001766e-07,0.0,0.11625472423457175,0.004494231641385506,0,-0.34725612397519834,-0.088885369746974
ARE,United Arab Emirates,0.00039561757706473976,0.22125434466960325,0.2841147017994917,0.0,1,1.733398562454778,0.035218917011760546
GBR,United Kingdom,1.2600588399884077e-06,0.013001765432893895,0.04351079322744553,8.256167427137777e-05,0,-0.2823848790756952,0.08733271107660245
USA,United States,0.0002545167054545923,0.030077500659352704,0.15511145251130598,0.006161093176645668,0,-0.08025017554795898,-0.15316546461646155
URY,Uruguay,0.0,0.0,0.0,0.0,0,-0.45173564979320835,0.09842573514996326
UZB,Uzbekistan,7.859027348638194e-05,0.009241350328822517,0.810390002893052,0.0016425249424226666,1,0.8687387507698402,-0.06180875909053651
VEN,"Venezuela, RB",2.6571472572310064e-05,0.1702163420520534,0.393638334436578,0.0001744452143906559,1,1.5038414892240177,0.009931053891224432
VNM,Viet Nam,0.0004097986169310263,0.008726908468776929,0.03459613409405497,0.004690658697106399,0,-0.41323860240538357,-0.07081139539183143
YEM,"Yemen, Rep.",0.0,0.04926177939314352,0.0,0.0,0,-0.06437056302359216,0.08826248311121244
ZMB,Zambia,0.0012622281819318153,0.0,0.0,0.0005366214984711132,0,-0.4687892442801101,0.131774756726772
ZWE,Zimbabwe,0.00010045838227279516,0.0,0.0,0.007576752498048657,0,-0.5850555837626569,-0.18928221772175682
