Country Name,Coal,Metals,Natural Gas,Oil,Total,Country Code,Total_Log
Iraq,0.0,0.0,0.1488626223846492,11.491338631641185,11.640201254025834,IRQ,2.5368823105876723
Ireland,0.0,1.1197943242171062,0.0,0.0,1.1197943242171062,IRL,0.7513190670987558
Israel,0.0,0.0,0.12887516158503126,0.0,0.12887516158503126,ISR,0.12122170472692317
Italy,0.0,0.0,0.04071940379405136,0.029075535630709724,0.06979493942476109,ITA,0.0674669847100695
Jamaica,0.0,3.9842430472042905,0.0,0.0,3.9842430472042905,JAM,1.6062815457865816
Japan,0.0009049738597599713,22.643997400111108,0.0,0.0,22.64490237397087,JPN,3.163147547263922
Kazakhstan,1.6900002711889754,39.863911820705965,0.7946055455341205,2.887324719864948,45.23584235729401,KAZ,3.833755305903196
Kenya,0.0,0.06562568851410382,0.0,0.0,0.06562568851410382,KEN,0.06356212760247783
"Korea, Rep.",0.0015465969146601368,45.492957010148096,0.0,0.0,45.494503607062754,KOR,3.8393341036082536
Kuwait,0.0,0.0,0.19778924858232508,5.6465999899105626,5.844389238492887,KWT,1.9234292273661153
Kyrgyz Republic,0.005764940552086491,0.7271502386212777,0.0,0.0,0.7329151791733642,KGZ,0.549805065030953
Lao PDR,0.08301820525188314,0.6608106230780308,0.0,0.0,0.7438288283299139,LAO,0.556083171776472
Liberia,0.0,0.05966754130649228,0.0,0.0,0.05966754130649228,LBR,0.05795521865168335
Libya,0.0,0.0,0.2634962836723603,1.4378255480478097,1.70132183172017,LBY,0.9937412205150757
Madagascar,0.0,17.843277085561944,0.0,0.0,17.843277085561944,MDG,2.936156196992272
Malawi,1.754476608124377e-05,0.0,0.0,0.0,1.754476608124377e-05,MWI,1.7544612173635528e-05
Malaysia,0.00881621221072553,1.5966700751305443,2.7954656572231182,0.6055007088014821,5.006452653365871,MYS,1.7928343335819839
Mali,0.0,2.61606872684038,0.0,0.0,2.61606872684038,MLI,1.2853874486657892
Mauritania,0.0,0.3144222285326769,0.0,0.0,0.3144222285326769,MRT,0.273397199141347
Mexico,0.0417543929338755,184.84852396448252,0.9824525532561462,2.921627685732911,188.79435859640546,MEX,5.245941162848981
Mongolia,0.5917194824862655,3.855771050860219,0.0,0.0,4.4474905333464845,MNG,1.6951550500373278
Morocco,0.0,4.4673651605904485,0.0,0.0,4.4673651605904485,MAR,1.6987968112784735
Mozambique,0.04556011280059281,53.55603690045184,0.0,0.0,53.60159701325244,MOZ,4.000063131650074
Myanmar,0.0037073059970498213,68.9552815954314,0.3256736970377947,0.0,69.28466259846626,MMR,4.2525536042950955
Namibia,0.0,0.42914126583952383,0.0,0.0,0.42914126583952383,NAM,0.35707375049249285
Nepal,8.344161508454159e-07,0.0,0.0,0.0,8.344161508454159e-07,NPL,8.344158027204531e-07
Netherlands,0.0,7.27124617568661,0.5989997082429813,0.0,7.8702458839295915,NLD,2.1827025167861556
New Zealand,0.007241906788985407,0.5479921980984945,0.0,0.0,0.5552341048874799,NZL,0.4416260840665867
Nicaragua,0.0,0.1613716590691014,0.0,0.0,0.1613716590691014,NIC,0.14960177127224314
Niger,0.00014715168355772444,0.06244475668216005,0.0,0.0,0.06259190836571778,NER,0.06071112006661713
