feature,coefficient,abs_coef
applicable,-0.01253456482364339,0.01253456482364339
recyclable,0.012453355788037917,0.012453355788037917
br storage,0.012435679646356352,0.012435679646356352
product br,-0.012406419471227746,0.012406419471227746
contents,-0.01229899885876114,0.01229899885876114
kcals,-0.012282808216295082,0.012282808216295082
included,-0.01220020397925035,0.01220020397925035
subject,-0.012131580698442553,0.012131580698442553
personal,-0.012101239363057055,0.012101239363057055
website information,-0.01190312469308509,0.01190312469308509
nappies pants,0.01184206486260058,0.01184206486260058
bc nappies,0.011628375476584112,0.011628375476584112
nappies,0.011568838064781683,0.011568838064781683
rd,-0.01150961800018253,0.01150961800018253
br adults,-0.011476842213679625,0.011476842213679625
feat_color1_green,-0.011460618551371114,0.011460618551371114
taken,-0.011226521253110477,0.011226521253110477
consent acknowledgement,-0.011189066413736546,0.011189066413736546
acknowledgement,-0.011189066413736546,0.011189066413736546
prior consent,-0.011189066413736546,0.011189066413736546
way whatsoever,-0.011189066413736546,0.011189066413736546
consent,-0.011189066413736546,0.011189066413736546
whatsoever wm,-0.011189066413736546,0.011189066413736546
limited prior,-0.011189066413736546,0.011189066413736546
supplied personal,-0.011188027114645954,0.011188027114645954
use reproduced,-0.011188027114645954,0.011188027114645954
reproduced way,-0.011188027114645954,0.011188027114645954
included data,-0.011186987987351129,0.011186987987351129
reproduced,-0.011186987987351129,0.011186987987351129
purchasing included,-0.011186987987351129,0.011186987987351129
data supplied,-0.011186987987351129,0.011186987987351129
whatsoever,-0.011185949031798842,0.011185949031798842
product purchasing,-0.011185949031798842,0.011185949031798842
purchasing,-0.011184910247935127,0.011184910247935127
personal use,-0.011183871635697699,0.011183871635697699
pictured,-0.01117556890964693,0.01117556890964693
ingredients pictured,-0.01117556890964693,0.01117556890964693
pictured product,-0.01117556890964693,0.01117556890964693
items ingredients,-0.01117556890964693,0.01117556890964693
additional items,-0.011174531839523176,0.011174531839523176
safe,0.011139573543029878,0.011139573543029878
