feature,coef_female,coef_male,coef_none,max_abs
bc_grooming,-0.05933390136020766,0.416935831689101,-0.29434409797889033,0.416935831689101
bc_body sprays,0.12961783779804,0.1948632121811851,-0.4146490796052991,0.4146490796052991
bc_antiperspirant,0.10791618048615242,0.22132607452376882,-0.40862849571480336,0.40862849571480336
bc_health bc,0.4069740154963558,-0.16430084722641886,-0.16559147359527934,0.4069740154963558
bc_care bc,-0.077345190271032,-0.34344269214618284,0.4049334716511252,0.4049334716511252
feat_color2_silver,0.23868132526657873,0.09964854973162621,-0.4003121270197723,0.4003121270197723
bc_wellbeing,-0.18660160513675447,-0.18984982155373623,0.3981863323925698,0.3981863323925698
bc_gift sets,0.26642170889562533,0.059364997058761165,-0.3967461727501254,0.3967461727501254
bc_sets,0.2903603778553431,0.04506977338203726,-0.39662654390983554,0.39662654390983554
bc_skincare bc,-0.30886829400349114,0.3899575970719007,-0.003331726797700362,0.3899575970719007
desc_iron,0.3891581677784775,-0.05894711037189627,-0.2481978489764793,0.3891581677784775
bc_bc frozen,-0.18065215836889567,-0.08713589604281322,0.38868667093781134,0.38868667093781134
bc_frozen,-0.18065215836889567,-0.08713589604281322,0.38868667093781134,0.38868667093781134
bc_supplements,0.3846283672332156,0.019321074249461036,-0.3017069935712598,0.3846283672332156
bc_sweets,-0.3465771387487343,0.019554994769211687,0.3834636870152659,0.3834636870152659
desc_colour,-0.1360003180358907,-0.15065899624329934,0.38328352332636145,0.38328352332636145
bc_bc baby,-0.330594932074763,0.029845798088917724,0.38042439763321373,0.38042439763321373
bc_skincare,-0.3182461541626355,0.37990364176664787,0.007840906457491834,0.37990364176664787
desc_shower gel,-0.13303062772543675,0.3796035545291494,-0.13917125150845572,0.3796035545291494
desc_pads,0.37626055959353005,-0.09805231060285917,-0.1750657877913854,0.37626055959353005
feat_color3_silver,0.1989198475344142,0.10452413697153519,-0.3732913806325016,0.3732913806325016
desc_discreet,0.37025566916626157,-0.14080855180621832,-0.14816925307426268,0.37025566916626157
bc_bc bath,-0.14119592488902571,-0.16049368323899144,0.36873251628547393,0.36873251628547393
desc_hair,-0.1671467490471157,-0.08506015861361099,0.368629095128332,0.368629095128332
bc_shampoo,-0.1377149064168591,-0.11958020945723424,0.3653895544579935,0.3653895544579935
bc_pet bc,-0.137188724443538,-0.141735174592225,0.36367173869923813,0.36367173869923813
bc_baby,-0.21548214991792353,-0.036507709186509425,0.3635293166607597,0.3635293166607597
desc_blade,-0.07410025227945402,0.3626175827535979,-0.2018244202829829,0.3626175827535979
desc_printed,0.36156585523018786,-0.17917542649530116,-0.09916466695789085,0.36156585523018786
desc_razor,-0.01129726951883591,0.3590484786708062,-0.27982000523612843,0.3590484786708062
bc_bc hair,-0.3569784378969101,0.131557167666656,0.19917792966560502,0.3569784378969101
bc_birthday,0.24918161125068866,0.08837112464027999,-0.3556542246312945,0.3556542246312945
bc_birthday cards,0.24918161125068866,0.08837112464027999,-0.3556542246312945,0.3556542246312945
desc_blades,0.07471832072534632,0.2660598552181606,-0.3555953441403544,0.3555953441403544
bc_toys,-0.16796101869711733,-0.07932353692479782,0.35508360060760435,0.35508360060760435
bc_frozen bc,-0.16161030598519613,-0.07224272560987209,0.35458705244379485,0.35458705244379485
bc_foam,-0.19375250947526126,0.3527767337162184,-0.07199276298374731,0.3527767337162184
desc_odour,-0.033807146893701685,0.35216061354676886,-0.32201332499477653,0.35216061354676886
desc_skin,0.3008219450543972,-0.05766607552502265,-0.3471327086411206,0.3471327086411206
bc_bladder,0.21298483415132555,0.08041829732759852,-0.33992682473526964,0.33992682473526964
bc_bc bladder,0.21298483415132555,0.08041829732759852,-0.33992682473526964,0.33992682473526964
bc_bladder weakness,0.21298483415132555,0.08041829732759852,-0.33992682473526964,0.33992682473526964
bc_weakness,0.21298483415132555,0.08041829732759852,-0.33992682473526964,0.33992682473526964
bc_conditioner bc,-0.11525237269792356,-0.12132602178209977,0.33705243366227383,0.33705243366227383
bc_shower gel,-0.13052729670502913,0.33538737613967007,-0.10438093838141613,0.33538737613967007
bc_bc shower,-0.3313721130468292,0.293179847647861,0.046673715141442966,0.3313721130468292
desc_body,0.28129953759577914,-0.04619721273017239,-0.3290596857033797,0.3290596857033797
feat_color1_pink,0.3286497653345422,-0.19580448859461688,-0.08021241239655047,0.3286497653345422
desc_fresh,-0.04719737742351385,0.3270811022131191,-0.25527975056628815,0.3270811022131191
bc_deodorants body,0.07125956748326814,0.1788363236677212,-0.323560358078168,0.323560358078168
bc_sprays bc,0.07863319524822937,0.16576203380588864,-0.32027098351268635,0.32027098351268635
desc_shaving,-0.05148239254134256,0.31964404702084387,-0.1927171048769339,0.31964404702084387
desc_gel,-0.12147145532993284,0.317363216236249,-0.08418372123745853,0.317363216236249
desc_flavour,-0.13846818967534444,-0.10581662513318252,0.3144438861365882,0.3144438861365882
bc_bc birthday,0.26734444494433596,0.04352200726038394,-0.3143332219386777,0.3143332219386777
bc_fragrances,0.16176721350932302,0.10564603055905593,-0.31368874783215756,0.31368874783215756
