original_index,product_id,label_extracted,color1_name,color1_weight,color2_name,color2_weight,color3_name,color3_weight
11753,110168621,none,salmon,0.4367917401158398,coral,0.23268698060941828,purple,0.12880886426592797
9811,112399095,male,teal,0.4113965744400527,dark_green,0.16600790513833993,gray,0.16403162055335968
3649,292905094,female,crimson,0.4552808988764045,brown,0.20269662921348314,salmon,0.1501123595505618
8398,111885868,male,coral,0.3376181474480151,crimson,0.2455576559546314,silver,0.2283553875236295
3249,258019468,male,orange,0.4050914483440435,lavender,0.22516065249629263,khaki,0.21280276816608998
9434,111397223,female,gold,0.2864474434518152,teal,0.23987835012355066,brown,0.19730089336628018
7065,110426037,none,lavender,0.29555621831195944,gray,0.19862809424396063,purple,0.19296152699075456
8840,111207223,male,gray,0.4368583162217659,lavender,0.21611909650924024,gray,0.14425051334702257
786,276188389,none,black,0.4011509817197021,gray,0.24306025727826674,gray,0.15775220040622884
12201,111389776,male,lavender,0.47364541098415036,gray,0.17987467747880576,silver,0.16992259491338002
8562,111987928,male,lavender,0.54406364749082,silver,0.1689106487148103,teal,0.13117095063239495
8417,102489679,female,silver,0.3210702341137124,hot_pink,0.2878826858759969,lavender,0.21764857216362232
9235,114181487,female,black,0.3533783783783784,silver,0.3071621621621622,silver,0.13256756756756757
8287,114189585,none,silver,0.4650375939849624,silver,0.21428571428571427,dark_green,0.1793233082706767
8069,111238370,female,silver,0.3038053649407361,gray,0.2857142857142857,lavender,0.1635683094198378
10837,113982531,male,coral,0.391140037791308,crimson,0.2991811883266849,silver,0.10371614528658409
9575,112078603,female,lavender,0.37866666666666665,teal,0.20933333333333334,gray,0.19533333333333333
9347,105808161,none,dark_green,0.3895843765648473,sky_blue,0.22684026039058588,lavender,0.15690201969621098
7075,113298131,male,black,0.4794059102740775,brown,0.31450007655795437,silver,0.07349563619660082
7764,113643598,female,lavender,0.41920668058455113,silver,0.24091858037578287,navy,0.13862212943632568
11347,100703951,female,sky_blue,0.27157001414427157,lavender,0.25836869401225837,royal_blue,0.19754832626119756
10396,113654730,none,purple,0.3154041115178823,gray,0.23204731061672768,silver,0.17234581807941424
11771,113689473,female,purple,0.3584554547569202,pink,0.21528262386601535,silver,0.18364735985112818
7246,106852607,none,purple,0.3195193171608266,gray,0.29335130278526506,crimson,0.17486522911051214
12300,111786149,none,black,0.34222653407712833,lavender,0.2187727382973563,tan,0.17608537472714042
9557,111333529,male,brown,0.49408111779545894,brown,0.21560256161459343,brown,0.1622355909179119
10282,114242569,female,lavender,0.5745156482861401,gray,0.12704918032786885,silver,0.12146050670640834
7261,111188211,female,tan,0.25091081894503403,pink,0.22968477744337082,teal,0.18960874386187232
7347,110964812,male,gray,0.4128774730996182,black,0.3734814300590073,silver,0.11072544255466851
1795,289546096,none,lavender,0.4860986547085202,crimson,0.17130044843049327,salmon,0.12615844544095664
6247,317057534,female,tan,0.3084808946877912,gray,0.22041006523765144,gray,0.212022367194781
10930,106969434,female,lavender,0.23599099632744935,navy,0.23172609880345932,royal_blue,0.2272242625281365
7088,111073843,none,lavender,0.5357940365164849,sky_blue,0.15473532116117167,sky_blue,0.15053198476290555
2143,325339452,female,black,0.3,gray,0.20520833333333333,tan,0.1859375
10663,100667902,female,lavender,0.41325390915860016,sky_blue,0.2874162323157111,silver,0.1563663440059568
10958,113889441,male,dark_red,0.35975826519729825,black,0.19232136509065056,brown,0.1766797013864202
5769,316947787,female,black,0.299963530269876,gray,0.2607585703865791,gray,0.19328956965718452
8407,113925907,female,lavender,0.5108156827399729,pink,0.15817936007210456,tan,0.1270842721946823
2073,315156339,female,pink,0.28699551569506726,tan,0.2857142857142857,gray,0.17424727738629084
12419,111086038,female,tan,0.3515210043457267,gray,0.1926605504587156,lavender,0.19249959761789795
12006,109688144,male,black,0.26006649427410417,silver,0.20871813816032508,lavender,0.17436276320650165
12041,110980695,male,lavender,0.2382837238758708,silver,0.22672577580747308,sky_blue,0.19062697910069665
6556,251533676,female,lime,0.3358254192766215,lavender,0.22590422307536875,silver,0.19983835118205698
11241,110455735,none,teal,0.325824935783442,lavender,0.18553645524599882,crimson,0.17565698478561548
12150,106756519,male,silver,0.4568365619710363,teal,0.1845025390257664,sky_blue,0.17716757570058303
239,285513527,female,purple,0.30747051114023594,purple,0.2382699868938401,lavender,0.22857142857142856
7951,114160432,none,gray,0.28794512551079976,crimson,0.23044366608289552,teal,0.21482778750729714
10740,112922974,female,lavender,0.2687205819426615,gray,0.20239623448866068,crimson,0.19940094137783482
9795,110070472,female,royal_blue,0.2549495704146433,silver,0.21796787448636534,sky_blue,0.1940605155024281
1340,263018992,male,navy,0.3899580379105773,silver,0.20894226595282883,royal_blue,0.19591954854579655
10165,111851351,male,black,0.2822878228782288,cyan,0.2606507883260651,gray,0.2425360617242536
11350,111274899,female,lavender,0.4601994253844854,silver,0.31688355585600814,silver,0.10174074700016901
8486,111851203,male,black,0.39714332621901166,gray,0.2459366278115252,brown,0.22557872270563126
8461,111010877,female,lavender,0.4002962165073381,silver,0.3384946815672546,brown,0.09438535074727346
9867,110308743,female,teal,0.3577938770740827,lavender,0.26501519046506194,salmon,0.16405702266884786
8517,113898128,male,black,0.3278631888063569,brown,0.2889963724304716,gray,0.11141820694420453
5958,278465202,female,lavender,0.45104794717197816,silver,0.23743898937697389,sky_blue,0.16767154751650876
5535,315981030,female,lavender,0.5086206896551724,silver,0.24469496021220158,gray,0.11007957559681697
9158,110376674,male,navy,0.423861852433281,green,0.1946624803767661,silver,0.1457725947521866
8813,113995112,female,silver,0.4599517226245337,silver,0.24950625411454905,silver,0.21220100943603248
8049,105443967,male,silver,0.36713178294573645,gray,0.24527131782945735,lime,0.17829457364341086
11642,108736108,male,black,0.4864669794298087,silver,0.16925297726452543,gray,0.12666907253699025
7064,113166701,male,navy,0.28977072310405644,teal,0.2529100529100529,crimson,0.20105820105820105
11731,113643281,female,lavender,0.45937090432503275,sky_blue,0.2653997378768021,gray,0.11664482306684142
7985,114241881,female,lavender,0.6140089418777943,gray,0.11698956780923994,silver,0.10581222056631892
9933,113128692,female,hot_pink,0.38897205588822353,crimson,0.20770958083832336,pink,0.20409181636726548
10695,113210400,none,gray,0.37457324012355714,gray,0.29539912209396846,silver,0.14648024711429036
8594,112399167,male,teal,0.321548308442548,silver,0.19323377019201463,royal_blue,0.18561414202986895
7492,113131681,female,salmon,0.399708242159008,pink,0.21055190858254316,teal,0.1913445173839047
10331,100426658,female,lavender,0.4196909185622504,sky_blue,0.297621114776871,brown,0.11182496961277999
11637,114077938,female,black,0.2907059662467316,gray,0.25386260993582127,brown,0.18778226764915618
6230,295581113,male,orange,0.25355239786856126,silver,0.2433392539964476,gray,0.2433392539964476
4312,317299731,female,tan,0.29965156794425085,lavender,0.22125435540069685,gray,0.21196283391405343
177,325117831,male,black,0.29232386961093587,gray,0.2499123729407641,silver,0.1808622502628812
1538,253026298,female,tan,0.35810473815461347,pink,0.2084788029925187,gray,0.20149625935162094
7113,100668358,female,silver,0.37660190161223644,lavender,0.20669698222405952,crimson,0.19140140553947912
8597,113889416,male,orange,0.2827200745225897,tan,0.2342803912435957,brown,0.2007452258965999
8147,100683291,male,gray,0.4768035969752708,silver,0.19374616799509503,navy,0.12977723278152462
12036,114022216,male,crimson,0.29168778509883425,brown,0.25038013177901675,gray,0.21794221996958946
3422,259880355,female,tan,0.3366214549938348,gray,0.22503082614056721,silver,0.20160295930949446
10583,113482886,none,gray,0.3064354307008743,brown,0.3012756198939372,purple,0.19463952988390426
11762,113643192,male,black,0.3842447602987232,brown,0.2372922187424717,gray,0.13924355576969405
9475,110921775,male,black,0.7311643835616438,black,0.13398972602739725,gray,0.0586472602739726
7376,113289058,male,black,0.7439524685245438,brown,0.118404300466827,silver,0.03720469656245579
8373,113707723,female,pink,0.5753086419753086,pink,0.18765432098765433,lavender,0.12345679012345678
7662,113669632,male,gray,0.08123924268502582,brown,0.039931153184165236,silver,0.03270223752151463
3341,317297883,female,lavender,0.62004662004662,lavender,0.1856325492689129,lavender,0.11633820724729815
8340,108788750,female,lavender,0.3230432668935343,tan,0.25838599902771026,olive,0.1917841516771998
9484,112169206,male,brown,0.3682293502526143,teal,0.17401010457055574,silver,0.12607214193396782
10606,112794263,none,gold,0.31435178494002025,crimson,0.2185286891169244,silver,0.21260297730885966
12230,114207561,none,lavender,0.4871682706328376,silver,0.25809273840769903,lime,0.09113444152814232
3147,325378231,male,navy,0.3698369836983698,silver,0.31663166316631663,silver,0.1328132813281328
9852,111688151,female,orange,0.3061630218687873,lavender,0.2953943008614977,silver,0.177766732935719
3909,255635221,none,orange,0.3753142857142857,dark_green,0.28114285714285714,pink,0.1417142857142857
11743,111839546,male,brown,0.3215350223546945,gray,0.21907600596125187,tan,0.1777198211624441
11782,113120148,none,sky_blue,0.5534024335286165,gray,0.15712783536127384,lavender,0.10620399579390116
8366,107909396,male,sky_blue,0.3374849337083166,teal,0.21976697468862996,teal,0.19686621132985135
8191,104517901,female,silver,0.2776939835763365,lavender,0.24920395508630802,lime,0.22054633819339703
10311,100878785,male,silver,0.3796895213454075,olive,0.23447606727037515,lime,0.20084087968952136
9307,113302865,female,olive,0.2789115646258503,lavender,0.24699110413396128,olive,0.1998953427524856
4707,258023290,male,navy,0.3689839572192513,royal_blue,0.279144385026738,silver,0.17983193277310924
7349,107532841,female,black,0.591254752851711,silver,0.1637357414448669,orange,0.07034220532319392
10038,107877785,female,purple,0.2594724220623501,lavender,0.2517985611510791,silver,0.2517985611510791
7049,108271460,female,purple,0.4956722446624351,lavender,0.21465666474321984,gray,0.14045008655510674
9812,112388871,female,lavender,0.29119394921663966,lavender,0.2636412749864938,sky_blue,0.23878984332793085
3918,314418372,female,salmon,0.5567892667129308,lavender,0.2921582234559334,salmon,0.0830441822808235
522,325238862,none,lavender,0.21693625118934348,silver,0.20266412940057088,brown,0.17507136060894388
11826,108713248,female,gray,0.26235854675402026,gray,0.22736748064324003,lavender,0.21902918403811794
6426,287613020,female,teal,0.3673727473917167,tan,0.22004426177679418,royal_blue,0.18906101802086628
9270,113688665,female,cyan,0.35784879989731744,sky_blue,0.20960082146065973,lavender,0.1967654986522911
10823,112950561,female,crimson,0.39316902775082474,crimson,0.3143799728313604,salmon,0.15369687560644285
7143,113990670,male,silver,0.3321842682544657,lavender,0.26277029144468816,purple,0.15935443434659982
10226,111874034,none,coral,0.5419154800183739,crimson,0.1568672485071199,salmon,0.1310289389067524
