feature,coef_female,coef_male,coef_none,max_abs_coef
desc_sunlight,0.016721343924333176,-0.00021338221940562252,-0.016008281942894633,0.016721343924333176
desc_external,0.016702754840213944,-0.007529236330085831,-0.007574970878761351,0.016702754840213944
desc_dermatologically tested,-0.008169464500133361,0.01653526718949697,-0.007958634714084862,0.01653526718949697
desc_thoroughly,0.001905273087830837,0.013311449732101297,-0.016332178002003903,0.016332178002003903
feat_color3_orange,-0.007876270763283016,0.016227582719049016,-0.005608078382719627,0.016227582719049016
desc_heated,-0.00219078188030724,0.016147328474036635,-0.012991091161053531,0.016147328474036635
desc_united,-0.00963868478591154,0.016129576785194655,-0.004419555585440998,0.016129576785194655
desc_food,-0.0087019940964904,-0.006861066918516261,0.01606026617451409,0.01606026617451409
feat_color2_salmon,-0.008135252608424655,-0.004832273132690204,0.015548891508867905,0.015548891508867905
desc_morrisons,-0.015457639812676801,0.00036668358673578954,0.015215033842540136,0.015457639812676801
desc_contact,-0.004502167087065159,0.015300798361218986,-0.01074426914921912,0.015300798361218986
desc_use br,0.004703595984906812,-0.015243467488876972,0.009459510746598294,0.015243467488876972
desc_contact eyes,-0.002874964915145943,0.015102215933452944,-0.011589399556406478,0.015102215933452944
desc_website,-0.0137342635337796,-0.00041617505588437164,0.014919301014047323,0.014919301014047323
feat_color2_coral,-0.008774242111090614,0.01483628658057407,-0.003332409716951504,0.01483628658057407
desc_applicable,-0.011896293884623045,0.014500729122245235,-0.0017445994073959652,0.014500729122245235
desc_helps,-0.009434168504082931,0.014332087535156655,-0.005083165893170368,0.014332087535156655
desc_handle,-0.014199337939723755,0.012662566220059459,0.0021138841224964348,0.014199337939723755
desc_irritated,0.010247743364356993,0.002660374030924475,-0.01413327608364114,0.01413327608364114
desc_brand,-0.0034430722454251318,0.014013498071304954,-0.008603728255793952,0.014013498071304954
desc_otherinformation product,0.0033376146360441835,-0.013813380769125505,0.009699916389085265,0.013813380769125505
desc_product br,0.0033376146360441835,-0.013813380769125505,0.009699916389085265,0.013813380769125505
desc_high,-0.01318270655041731,0.007231463859548203,0.004643146320239474,0.01318270655041731
desc_directions use,0.013002042888169791,-0.005194565272303102,-0.006209095910092421,0.013002042888169791
desc_experience,-0.011855453021385721,0.012924305382953017,-0.00032076604184486454,0.012924305382953017
desc_control,-0.012497416177078415,0.012154773911868753,0.0004031637184578958,0.012497416177078415
desc_need,-0.010070102585279187,0.012466040779897214,-0.0012897614524834291,0.012466040779897214
desc_sensitive skin,-0.010397335272773603,0.012422073718834215,-0.0011212088918169819,0.012422073718834215
desc_burn,-0.0010890354109310597,0.012297004544451328,-0.010944605659659587,0.012297004544451328
desc_gently,-0.004893839160755276,-0.005620911049997126,0.01205587419114176,0.01205587419114176
desc_vera,-0.012014493562293694,0.0019078811745600673,0.009644948609409738,0.012014493562293694
desc_aloe vera,-0.012014493562293694,0.0019078811745600673,0.009644948609409738,0.012014493562293694
desc_br uk,0.0022825644864408077,0.009432371183415864,-0.012003936276967088,0.012003936276967088
desc_tray,0.007780652288786133,0.004056900617887802,-0.0119262493226743,0.0119262493226743
desc_furtherdescription,0.006939613321557538,-0.01187982708074955,0.004479585060239445,0.01187982708074955
desc_schwalbach,-0.011730062371630197,0.0032418631478504613,0.007845600264023414,0.011730062371630197
desc_br www,-0.011730062371630197,0.0032418631478504613,0.007845600264023414,0.011730062371630197
desc_pg com,-0.011730062371630197,0.0032418631478504613,0.007845600264023414,0.011730062371630197
desc_br importer,-0.011730062371630197,0.0032418631478504613,0.007845600264023414,0.011730062371630197
desc_importer br,-0.011730062371630197,0.0032418631478504613,0.007845600264023414,0.011730062371630197
desc_www pg,-0.011730062371630197,0.0032418631478504613,0.007845600264023414,0.011730062371630197
desc_importer,-0.011730062371630197,0.0032418631478504613,0.007845600264023414,0.011730062371630197
feat_color3_khaki,0.01169318300371513,-0.0056367345494374764,-0.0039704437243568555,0.01169318300371513
desc_usage br,0.0014075841542916464,-0.011630545812256695,0.009953427344546203,0.011630545812256695
desc_br servings,0.0014075841542916464,-0.011630545812256695,0.009953427344546203,0.011630545812256695
desc_servings br,0.0014075841542916464,-0.011630545812256695,0.009953427344546203,0.011630545812256695
desc_servings,0.0014075841542916464,-0.011630545812256695,0.009953427344546203,0.011630545812256695
desc_br usage,0.0014075841542916464,-0.011630545812256695,0.009953427344546203,0.011630545812256695
desc_com,-0.011560085249331355,0.004406269502034814,0.005923136215123723,0.011560085249331355
desc_reduce,0.011514538075744955,-0.0007449353200540234,-0.010821378311635547,0.011514538075744955
desc_origin,0.004820494523853996,0.006021121796104384,-0.011270796475199234,0.011270796475199234
desc_stop,-0.008318596834421554,0.011066597497283923,-0.0017882394345827338,0.011066597497283923
desc_aloe,-0.009787021172650495,0.010884914911805859,-0.001133017390820843,0.010884914911805859
desc_acknowledgement preparationandusage,0.0015561952274809573,-0.010529863379939077,0.0080053534630426,0.010529863379939077
desc_preparationandusage,0.0015561952274809573,-0.010529863379939077,0.0080053534630426,0.010529863379939077
desc_reach children,0.007391621338270802,0.0021682036832319433,-0.010492271958953043,0.010492271958953043
desc_non,-0.010453120393393673,0.003603451462634822,0.005888128012035955,0.010453120393393673
